Id,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels
1,65,tcp,ftp_data,SF,3694,854,1,7,3,4,3,1,0,0,1,10,1,2,5,0,0,0,33,45,0.86,0.92,0.99,0.71,0.91,0.06,0.44,36,101,0.84,0.32,0.1,0.49,0.64,0.9,0.21,0.45,neptune
2,29,icmp,other,S0,2918,4333,0,1,0,1,0,0,0,0,1,2,1,1,2,0,1,0,60,35,0.06,0.17,0.46,0.2,0.33,0.4,0.22,47,232,0.98,0.11,0.44,0.37,0.06,0.36,0.31,0.19,normal
3,87,tcp,ftp_data,RSTO,180,2730,1,2,0,0,1,1,2,0,0,0,1,1,1,0,0,0,64,52,0.19,0.49,0.41,0.08,0.14,0.48,0.2,234,1,0.53,0.47,0.77,0.05,0.32,0.5,0.23,0.2,normal
4,58,tcp,smtp,SF,8811,1987,0,1,0,3,1,1,8,0,1,10,2,0,4,0,1,1,91,79,0.52,0.91,0.91,0.61,0.93,0.25,0.37,170,3,0.83,0.22,0.18,0.24,0.89,0.82,0.41,0.01,back
5,74,tcp,eco_i,SF,1594,1425,1,4,0,1,1,0,10,1,1,4,4,2,3,0,1,1,69,63,0.69,0.7,0.91,0.62,0.97,0.45,0.46,24,242,0.8,0.31,0.39,0.22,0.72,0.63,0.47,0.33,back
6,41,tcp,eco_i,SH,3356,3029,0,0,0,2,0,1,2,0,0,0,0,1,5,0,0,0,7,31,0.34,0.4,0.08,0.33,0.15,0.07,0.42,87,222,0.75,0.33,0.86,0.02,0.21,0.16,0.44,0.31,normal
7,13,icmp,other,REJ,9690,1822,0,5,0,3,5,0,1,1,1,3,3,2,2,0,0,0,37,57,0.53,0.67,0.63,0.88,0.86,0.34,0.36,124,237,0.98,0.1,0.58,0.14,0.8,0.91,0.43,0.11,neptune
8,0,udp,domain_u,SF,3992,962,1,0,0,2,0,1,2,0,1,2,1,1,0,0,1,0,12,64,0.16,0.21,0.32,0.03,0.48,0.05,0.17,52,248,0.92,0.3,0.91,0.18,0.1,0.02,0.12,0.41,normal
9,79,tcp,smtp,SH,5936,1542,1,8,7,4,5,1,7,1,1,0,2,0,3,0,1,0,82,71,0.72,0.64,0.72,0.94,0.85,0.21,0.12,201,189,0.9,0.07,0.51,0.24,0.51,0.9,0.08,0.4,teardrop
10,28,icmp,ftp_data,SF,6836,1514,0,7,7,4,1,1,4,0,0,3,3,0,4,0,1,0,15,5,0.79,0.86,0.8,0.78,1.0,0.22,0.04,250,98,0.96,0.07,0.8,0.11,0.97,0.97,0.38,0.34,teardrop
11,38,udp,domain_u,SF,5502,885,0,8,6,0,2,0,1,0,0,2,3,1,0,0,1,1,88,43,0.94,0.95,0.83,0.96,0.96,0.31,0.17,96,126,0.93,0.28,0.85,0.45,0.99,0.69,0.06,0.34,smurf
12,41,tcp,other,S0,6049,1087,0,10,8,4,2,1,3,1,0,6,1,2,3,0,1,1,82,42,0.8,0.91,0.54,0.93,0.99,0.02,0.25,56,210,0.83,0.46,0.56,0.21,0.97,0.62,0.46,0.45,neptune
13,33,udp,http,REJ,2337,2281,0,0,0,1,0,1,2,0,0,2,0,2,1,0,1,0,33,41,0.33,0.41,0.3,0.35,0.03,0.44,0.33,94,88,0.52,0.2,0.51,0.02,0.25,0.02,0.48,0.01,normal
14,42,tcp,private,S0,7284,522,0,4,7,5,3,1,6,0,0,1,0,0,3,0,0,1,31,4,0.81,0.97,0.91,0.66,0.86,0.15,0.3,237,154,0.97,0.22,0.9,0.39,0.97,0.87,0.48,0.47,neptune
15,70,tcp,private,REJ,4274,3576,0,1,0,0,1,1,1,0,0,3,2,1,0,0,1,0,18,71,0.37,0.32,0.09,0.41,0.22,0.02,0.28,165,219,0.78,0.37,0.84,0.33,0.48,0.09,0.43,0.38,normal
16,51,icmp,private,RSTO,9159,1444,1,1,5,4,0,0,5,0,0,3,3,2,2,0,1,0,61,22,0.73,0.79,0.67,0.6,0.9,0.08,0.34,136,127,0.99,0.13,0.05,0.26,0.84,0.57,0.33,0.05,back
17,23,udp,private,S0,4920,403,0,1,0,1,0,1,1,0,0,0,0,2,5,0,0,0,11,86,0.34,0.37,0.05,0.3,0.01,0.45,0.22,183,217,0.75,0.18,0.1,0.23,0.12,0.49,0.46,0.09,normal
18,4,icmp,ftp_data,S0,7227,1787,0,10,5,0,2,0,1,1,0,4,4,2,5,0,0,1,95,52,0.95,0.78,0.65,0.98,0.97,0.01,0.32,29,20,0.95,0.06,0.23,0.48,1.0,0.95,0.25,0.28,teardrop
19,96,tcp,eco_i,RSTO,2514,4280,1,1,0,1,0,1,0,0,1,1,2,2,3,0,0,0,73,56,0.08,0.39,0.42,0.15,0.07,0.2,0.33,145,244,0.69,0.24,0.48,0.07,0.45,0.29,0.04,0.04,normal
20,9,icmp,http,SH,2736,1162,1,2,0,1,0,1,0,0,0,3,1,1,4,0,0,0,53,21,0.09,0.32,0.44,0.49,0.17,0.32,0.4,237,251,0.83,0.18,0.74,0.14,0.0,0.45,0.47,0.38,normal
21,90,icmp,private,SF,559,4388,1,2,0,1,0,0,1,0,1,2,2,2,2,0,0,0,70,82,0.09,0.09,0.14,0.13,0.12,0.22,0.37,224,254,0.94,0.01,0.86,0.2,0.41,0.37,0.17,0.45,normal
22,0,udp,private,SH,4620,86,1,9,8,5,4,1,8,0,0,6,3,2,0,0,0,1,16,35,0.62,0.95,1.0,0.99,0.81,0.11,0.2,177,186,0.86,0.19,0.86,0.12,0.93,0.96,0.11,0.29,teardrop
23,87,icmp,eco_i,S0,7127,1792,0,8,0,0,5,1,1,1,1,4,2,2,0,0,1,0,33,78,0.74,0.92,0.63,0.76,0.84,0.31,0.03,4,231,0.83,0.31,0.29,0.23,0.93,0.74,0.12,0.09,teardrop
24,44,tcp,eco_i,SF,2370,783,1,2,0,0,0,1,1,0,0,2,2,1,1,0,0,0,62,35,0.08,0.31,0.03,0.49,0.08,0.09,0.12,241,9,0.93,0.32,0.88,0.35,0.29,0.0,0.01,0.38,normal
25,24,tcp,smtp,REJ,4845,10,0,1,0,2,0,0,2,0,0,2,2,0,4,0,1,0,10,27,0.26,0.05,0.26,0.41,0.43,0.07,0.46,114,169,0.6,0.21,0.62,0.35,0.38,0.13,0.28,0.49,normal
26,21,icmp,eco_i,SH,7068,1507,0,7,4,5,0,0,4,1,0,8,4,1,0,0,1,0,22,75,0.8,0.64,0.56,0.86,0.87,0.48,0.12,222,16,1.0,0.17,0.99,0.45,0.56,0.58,0.04,0.33,neptune
27,54,icmp,ftp_data,S0,2708,4557,1,0,0,1,0,1,1,0,1,1,0,1,5,0,1,0,89,74,0.02,0.17,0.2,0.0,0.38,0.36,0.2,190,57,0.69,0.02,0.62,0.17,0.34,0.27,0.13,0.36,normal
28,97,icmp,smtp,SH,1502,4059,0,1,0,2,1,1,1,0,0,0,2,1,5,0,1,0,71,39,0.22,0.34,0.27,0.14,0.41,0.34,0.11,130,101,0.59,0.19,0.5,0.31,0.39,0.1,0.22,0.27,normal
29,14,tcp,private,RSTO,7301,1964,0,3,8,1,4,1,3,0,0,4,5,2,3,0,0,1,42,52,0.83,0.83,0.51,0.84,0.83,0.12,0.26,134,26,0.85,0.46,0.16,0.29,0.6,0.93,0.1,0.37,teardrop
30,1,tcp,smtp,S0,8449,1471,1,4,8,0,4,1,3,1,1,0,4,2,1,0,1,1,1,29,0.9,0.99,0.51,0.82,0.95,0.48,0.3,241,64,0.86,0.08,0.22,0.42,0.56,0.82,0.08,0.2,back
31,51,udp,other,SH,3808,1780,1,2,10,3,0,0,1,1,0,5,1,0,2,0,0,0,7,100,0.91,1.0,0.89,0.91,0.89,0.31,0.08,96,130,0.87,0.27,0.5,0.46,0.94,0.61,0.04,0.19,teardrop
32,32,udp,other,SF,848,293,1,1,0,2,0,0,1,0,0,2,0,1,5,0,0,0,71,46,0.38,0.44,0.04,0.41,0.42,0.34,0.46,51,111,0.91,0.07,0.68,0.49,0.3,0.2,0.16,0.27,normal
33,15,udp,smtp,RSTO,6630,1801,0,2,7,2,1,0,0,1,0,5,2,1,2,0,0,1,33,50,0.59,0.51,0.51,0.79,0.86,0.46,0.05,199,192,0.9,0.37,0.26,0.16,0.86,0.77,0.25,0.26,back
34,45,tcp,http,SF,5948,256,0,3,9,2,2,1,3,1,1,3,1,0,5,0,0,0,29,76,0.8,0.94,0.84,0.77,0.82,0.05,0.44,223,189,0.93,0.11,0.77,0.35,0.67,0.98,0.14,0.17,back
35,49,icmp,smtp,S0,3831,1130,0,8,5,0,2,1,3,0,0,3,3,1,0,0,0,1,5,77,0.65,0.97,0.94,0.78,0.94,0.16,0.37,13,255,1.0,0.22,0.48,0.41,0.63,0.77,0.16,0.27,smurf
36,15,icmp,private,REJ,3516,116,0,6,10,3,5,1,4,0,1,4,2,0,4,0,1,0,95,27,0.71,0.5,0.66,0.75,0.97,0.42,0.06,37,156,0.86,0.05,0.04,0.32,0.95,0.95,0.33,0.43,neptune
37,26,udp,other,SH,244,1408,0,0,0,0,0,0,2,0,0,3,2,0,5,0,1,0,84,63,0.15,0.03,0.24,0.05,0.35,0.05,0.31,66,187,0.89,0.45,0.94,0.33,0.36,0.34,0.15,0.08,normal
38,67,tcp,eco_i,SF,6117,968,1,9,3,0,3,0,1,0,0,5,3,0,1,0,1,1,56,78,0.63,0.93,0.69,0.64,0.88,0.09,0.27,107,219,0.94,0.49,0.88,0.35,0.57,0.82,0.44,0.01,smurf
39,55,tcp,private,REJ,1206,1728,0,1,0,0,1,0,2,0,1,0,1,0,3,0,1,0,9,67,0.2,0.18,0.23,0.4,0.1,0.08,0.2,74,129,0.75,0.15,0.61,0.35,0.16,0.26,0.38,0.01,normal
40,76,icmp,smtp,SF,7242,1224,1,10,5,3,0,1,8,1,1,8,0,2,5,0,0,0,63,48,0.97,0.64,0.85,0.86,0.93,0.15,0.16,33,222,0.81,0.07,0.74,0.28,0.61,0.68,0.39,0.26,teardrop
41,86,icmp,eco_i,RSTO,8384,527,1,0,3,5,3,1,5,0,0,2,4,0,5,0,1,0,97,18,0.57,0.53,0.99,0.74,0.82,0.4,0.14,153,44,0.83,0.04,0.73,0.31,0.92,0.94,0.34,0.12,neptune
42,16,icmp,eco_i,SH,4374,3589,1,2,0,0,0,1,2,0,1,1,0,0,4,0,0,0,70,56,0.32,0.35,0.07,0.21,0.28,0.2,0.37,147,196,0.85,0.36,0.17,0.2,0.15,0.1,0.0,0.3,normal
43,45,icmp,domain_u,SF,1956,428,0,1,0,1,0,1,0,0,0,3,1,0,3,0,0,0,25,11,0.25,0.38,0.06,0.17,0.13,0.18,0.13,91,131,0.59,0.43,0.78,0.2,0.25,0.16,0.35,0.42,normal
44,78,tcp,other,RSTO,4334,1659,0,0,8,0,3,0,10,0,1,7,2,0,0,0,1,0,80,38,0.9,0.82,0.91,0.69,0.89,0.18,0.02,126,41,0.99,0.08,0.48,0.46,0.7,0.51,0.2,0.25,teardrop
45,11,tcp,private,SF,4989,92,0,5,10,5,0,1,6,1,0,10,1,1,4,0,1,1,77,55,0.84,0.99,0.84,0.8,0.91,0.07,0.04,29,82,0.98,0.38,0.18,0.46,0.51,0.77,0.05,0.01,smurf
46,68,udp,eco_i,RSTO,3384,1861,1,3,8,5,4,1,7,0,1,3,0,2,4,0,1,1,29,28,0.97,0.99,0.79,0.67,0.93,0.42,0.13,75,241,0.94,0.32,0.9,0.38,0.93,0.64,0.13,0.08,teardrop
47,54,tcp,ftp_data,S0,3697,3669,0,2,0,2,0,0,0,0,1,2,1,2,1,0,1,0,61,83,0.43,0.33,0.16,0.0,0.25,0.49,0.43,175,237,0.97,0.5,0.45,0.15,0.23,0.03,0.32,0.1,normal
48,21,udp,private,S0,4572,4832,1,0,0,0,1,1,2,0,1,2,1,0,4,0,1,0,64,87,0.06,0.04,0.23,0.41,0.13,0.45,0.44,214,97,0.86,0.14,0.01,0.08,0.33,0.48,0.13,0.12,normal
49,46,tcp,eco_i,S0,4439,652,0,1,7,0,1,0,2,0,0,0,4,0,2,0,1,0,88,57,0.7,0.54,0.77,0.91,0.85,0.15,0.44,43,189,0.82,0.31,0.37,0.03,0.66,0.68,0.02,0.05,smurf
50,4,udp,other,SH,7052,1737,0,0,8,2,5,0,8,1,1,0,4,0,1,0,1,0,62,93,0.53,0.72,0.69,0.69,0.92,0.15,0.38,244,5,0.83,0.35,0.08,0.16,0.56,0.71,0.19,0.42,neptune
51,71,udp,http,RSTO,2535,106,1,0,5,5,1,1,2,1,0,0,3,1,0,0,0,0,17,60,0.8,0.8,0.81,0.97,0.96,0.21,0.29,107,19,0.97,0.18,0.38,0.37,0.72,0.98,0.22,0.45,back
52,30,tcp,smtp,RSTO,794,980,1,2,0,0,1,0,2,0,0,3,2,2,4,0,0,0,89,67,0.31,0.41,0.3,0.09,0.01,0.28,0.31,18,43,0.96,0.32,0.36,0.32,0.33,0.23,0.19,0.45,normal
53,83,udp,domain_u,S0,3541,1393,1,2,0,2,0,0,1,0,1,0,1,1,0,0,0,0,56,36,0.33,0.46,0.34,0.24,0.25,0.47,0.26,37,83,0.55,0.44,0.94,0.47,0.05,0.29,0.46,0.15,normal
54,42,tcp,ftp_data,REJ,2235,3407,0,2,0,0,1,0,0,0,1,1,1,1,3,0,1,0,27,5,0.4,0.02,0.37,0.39,0.42,0.45,0.29,19,117,0.53,0.36,0.45,0.32,0.37,0.03,0.19,0.08,normal
55,40,tcp,private,SF,5174,1329,0,2,1,5,2,0,6,1,1,7,4,1,2,0,1,0,25,57,0.55,0.88,0.59,0.99,0.81,0.41,0.06,254,200,0.95,0.36,0.53,0.3,0.76,0.55,0.25,0.27,neptune
56,71,udp,http,S0,4105,4932,0,1,0,2,1,0,0,0,0,2,1,0,1,0,1,0,100,95,0.03,0.23,0.41,0.43,0.45,0.24,0.37,252,47,0.81,0.34,0.23,0.29,0.26,0.17,0.2,0.46,normal
57,53,udp,eco_i,REJ,2768,4504,0,0,0,0,1,1,2,0,1,3,2,2,4,0,0,0,79,24,0.15,0.06,0.15,0.43,0.27,0.02,0.38,78,90,0.67,0.12,0.69,0.28,0.18,0.25,0.23,0.35,normal
58,92,icmp,ftp_data,REJ,5690,1086,0,6,9,3,0,0,3,0,0,2,5,2,1,0,0,1,56,40,0.81,0.57,0.69,0.63,0.88,0.07,0.28,82,36,0.95,0.28,0.71,0.01,0.96,0.91,0.12,0.07,smurf
59,27,udp,other,SH,5802,1189,1,3,2,1,0,0,3,1,1,10,3,2,5,0,1,0,97,61,0.66,0.5,0.86,0.91,0.83,0.3,0.41,223,181,0.87,0.4,0.99,0.45,0.55,0.97,0.21,0.35,back
